mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
m                  t           m
m                  t           m
e                  t           m
e                  t           m
mmm      m      ee t           m
e                  t           m
e                  t           m
mmm                t           m
e                  t           m
e                  t           m
mmm                t           m
e                              m
e         m     ee             m
mmm                  p         m
e                              m
e                              m
oooooooooooooooooooooooooooooooo
